1.6405 	0
1.6415 	0
1.6425 	0
1.6435 	0
1.6445 	0
1.6455 	0
1.6465 	0
1.6475 	0
1.6485 	1
1.6495 	0
1.6505 	0
1.6515 	0
1.6525 	0
1.6535 	0
1.6545 	0
1.6555 	0
1.6565 	1
1.6575 	0
1.6585 	0
1.6595 	0
1.6605 	1
1.6615 	0
1.6625 	1
1.6635 	0
1.6645 	0
1.6655 	0
1.6665 	0
1.6675 	0
1.6685 	0
1.6695 	0
1.6705 	0
1.6715 	0
1.6725 	0
1.6735 	0
1.6745 	0
1.6755 	0
1.6765 	0
1.6775 	0
1.6785 	1
1.6795 	0
1.6805 	1
1.6815 	0
1.6825 	0
1.6835 	0
1.6845 	1
1.6855 	0
1.6865 	0
1.6875 	0
1.6885 	1
1.6895 	0
1.6905 	0
1.6915 	0
1.6925 	1
1.6935 	1
1.6945 	3
1.6955 	2
1.6965 	3
1.6975 	2
1.6985 	1
1.6995 	1
1.7005 	1
1.7015 	0
1.7025 	4
1.7035 	0
1.7045 	2
1.7055 	2
1.7065 	2
1.7075 	1
1.7085 	1
1.7095 	0
1.7105 	1
1.7115 	2
1.7125 	1
1.7135 	1
1.7145 	0
1.7155 	1
1.7165 	1
1.7175 	0
1.7185 	0
1.7195 	0
1.7205 	1
1.7215 	2
1.7225 	2
1.7235 	3
1.7245 	0
1.7255 	1
1.7265 	0
1.7275 	1
1.7285 	4
1.7295 	1
1.7305 	2
1.7315 	1
1.7325 	0
1.7335 	0
1.7345 	0
1.7355 	1
1.7365 	1
1.7375 	0
1.7385 	2
1.7395 	1
1.7405 	0
1.7415 	1
1.7425 	1
1.7435 	0
1.7445 	0
1.7455 	1
1.7465 	1
1.7475 	0
1.7485 	0
1.7495 	0
1.7505 	0
1.7515 	0
1.7525 	0
1.7535 	0
1.7545 	0
1.7555 	1
1.7565 	0
1.7575 	0
1.7585 	0
1.7595 	0
